ph,nhiet_do,huong_vi,mui,chat_beo,mau,do_trong,chat_luong
6.6,35,1,0,1,254,0,high
6.6,36,0,1,0,253,1,high
8.5,70,1,1,1,246,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.6,45,1,1,1,245,1,high
6.5,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
6.5,40,0,1,0,250,1,low
6.8,42,1,1,1,255,1,high
6.7,50,1,1,1,245,0,low
6.8,45,0,1,1,255,1,high
8.6,55,0,1,0,255,0,low
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
6.6,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.8,45,1,1,1,245,1,high
6.5,55,1,0,1,246,0,low
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,50,1,1,1,245,0,low
6.8,45,0,1,1,255,1,high
8.6,55,0,1,0,255,0,low
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
6.6,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.8,45,1,1,1,245,1,high
6.5,55,1,0,1,246,0,low
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,50,1,1,1,245,0,low
6.8,45,0,1,1,255,1,high
8.6,55,0,1,0,255,0,low
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
6.6,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
6.6,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.8,45,1,1,1,245,1,high
6.5,55,1,0,1,246,0,low
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
6.6,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.8,45,1,1,1,245,1,high
6.5,55,1,0,1,246,0,low
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,50,1,1,1,245,0,low
6.8,45,0,1,1,255,1,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
8.1,66,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.8,43,1,0,1,250,0,high
8.6,55,0,1,1,255,1,low
6.8,55,0,0,0,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.5,50,1,0,1,246,0,low
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
6.6,40,1,0,1,255,1,high
9,43,1,1,1,248,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,50,1,1,1,245,0,low
6.8,45,0,1,1,255,1,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
8.1,66,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.8,43,1,0,1,250,0,high
8.6,55,0,1,1,255,1,low
6.8,55,0,0,0,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.5,50,1,0,1,246,0,low
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
6.6,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
6.6,35,0,1,1,255,1,high
7.4,90,1,0,1,255,1,low
6.8,50,0,0,1,255,0,low
6.7,50,1,1,1,245,0,low
6.8,45,0,1,1,255,1,high
8.6,55,0,1,0,255,0,low
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
7.4,90,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.7,38,1,0,1,255,0,high
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
6.6,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.5,37,0,1,1,245,1,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
8.1,66,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.8,43,1,0,1,250,0,high
8.6,55,0,1,1,255,1,low
6.8,55,0,0,0,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
6.6,40,1,1,1,255,1,high
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.5,50,1,0,1,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
6.7,50,1,1,1,245,0,low
6.8,45,0,1,1,255,1,high
8.6,55,0,1,0,255,0,low
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,38,0,1,1,255,1,high
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
4.5,60,0,1,1,250,1,low
8.1,66,1,0,1,255,1,low
5.6,50,0,1,1,255,1,low
8.6,55,0,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.8,41,1,1,1,255,0,high
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.6,43,1,0,1,250,1,high
8.6,55,0,1,1,255,1,low
8.1,66,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.8,43,1,0,1,250,0,high
8.6,55,0,1,1,255,1,low
6.8,55,0,0,0,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
8.6,55,0,1,1,255,1,low
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
6.8,45,0,1,1,255,1,high
4.7,38,1,0,1,255,0,low
3,40,1,1,1,255,1,low
9,43,1,0,1,250,1,low
6.6,45,0,1,1,250,1,high
4.5,38,0,1,1,255,1,low
6.8,45,1,1,1,245,1,high
6.8,36,0,1,1,253,0,high
8.5,70,0,0,0,246,0,low
6.5,37,0,1,1,245,1,low
6.6,37,1,0,1,255,0,high
7.4,65,0,0,0,255,0,low
6.5,38,1,1,1,255,1,high
3,40,1,0,0,255,0,low
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.6,50,0,0,0,255,0,low
6.8,45,1,1,1,245,0,high
9,43,1,1,1,248,1,low
6.8,40,1,1,1,255,1,high
6.6,50,0,0,0,250,1,low
6.8,45,1,1,1,245,0,high
9.5,34,1,1,0,255,1,low
6.6,37,1,1,1,255,1,high
5.5,45,1,0,1,250,1,low
8.1,66,1,0,1,255,1,low
6.7,38,1,0,1,255,0,high
3,40,1,1,1,255,1,low
6.8,43,1,0,1,250,0,high
8.6,55,0,1,1,255,1,low
